,(년-월-일:시),PM10등급,PM10,PM2.5등급,PM2.5,오존등급,오존,이산화질소등급,이산화질소,일산화탄소등급,일산화탄소,아황산가스등급,아황산가스
179,2021-05-08:04,매우나쁨,784.0,매우나쁨,142.0,좋음,0.016,좋음,0.019,좋음,0.4,좋음,0.002
180,2021-05-08:03,매우나쁨,798.0,매우나쁨,146.0,좋음,0.019,좋음,0.015,좋음,0.4,좋음,0.003
181,2021-05-08:02,매우나쁨,942.0,매우나쁨,162.0,좋음,0.02,좋음,0.016,좋음,0.4,좋음,0.002
182,2021-05-08:01,매우나쁨,1024.0,매우나쁨,172.0,좋음,0.015,좋음,0.021,좋음,0.4,좋음,0.002
183,2021-05-07:24,매우나쁨,998.0,매우나쁨,170.0,좋음,0.017,좋음,0.02,좋음,0.4,좋음,0.002
184,2021-05-07:23,매우나쁨,941.0,매우나쁨,166.0,좋음,0.017,좋음,0.021,좋음,0.4,좋음,0.003
185,2021-05-07:22,매우나쁨,786.0,매우나쁨,139.0,좋음,0.015,좋음,0.025,좋음,0.5,좋음,0.002
186,2021-05-07:21,매우나쁨,669.0,매우나쁨,118.0,좋음,0.018,좋음,0.025,좋음,0.4,좋음,0.002
187,2021-05-07:20,매우나쁨,728.0,매우나쁨,129.0,좋음,0.022,좋음,0.024,좋음,0.4,좋음,0.002
188,2021-05-07:19,매우나쁨,748.0,매우나쁨,140.0,좋음,0.021,좋음,0.025,좋음,0.4,좋음,0.002
189,2021-05-07:18,매우나쁨,703.0,매우나쁨,131.0,좋음,0.024,좋음,0.022,좋음,0.4,좋음,0.003
190,2021-05-07:17,매우나쁨,682.0,매우나쁨,127.0,좋음,0.03,좋음,0.018,좋음,0.4,좋음,0.003
191,2021-05-07:16,매우나쁨,675.0,매우나쁨,123.0,좋음,0.028,좋음,0.017,좋음,0.4,좋음,0.002
192,2021-05-07:15,매우나쁨,670.0,매우나쁨,120.0,좋음,0.027,좋음,0.014,좋음,0.4,좋음,0.002
193,2021-05-07:14,매우나쁨,534.0,매우나쁨,93.0,,,,,,,,
194,2021-05-07:13,매우나쁨,310.0,나쁨,52.0,,,,,,,,
195,2021-05-07:12,나쁨,140.0,보통,31.0,보통,0.032,좋음,0.019,좋음,0.4,좋음,0.003
196,2021-05-07:11,나쁨,85.0,보통,30.0,좋음,0.029,좋음,0.024,좋음,0.5,좋음,0.003
197,2021-05-07:10,보통,77.0,보통,22.0,좋음,0.027,보통,0.034,좋음,0.5,좋음,0.003
198,2021-05-07:09,보통,73.0,보통,18.0,좋음,0.03,보통,0.035,좋음,0.5,좋음,0.003
199,2021-05-07:08,보통,71.0,보통,18.0,보통,0.031,보통,0.036,좋음,0.3,좋음,0.002
200,2021-05-07:07,보통,72.0,보통,17.0,보통,0.035,보통,0.031,좋음,0.3,좋음,0.003
201,2021-05-07:06,보통,67.0,보통,18.0,보통,0.038,좋음,0.023,좋음,0.3,좋음,0.003
202,2021-05-07:05,보통,68.0,보통,19.0,좋음,0.023,보통,0.033,좋음,0.5,좋음,0.003
203,2021-05-07:04,보통,64.0,보통,18.0,좋음,0.022,보통,0.036,좋음,0.5,좋음,0.003
204,2021-05-07:03,보통,68.0,보통,18.0,좋음,0.022,보통,0.034,좋음,0.4,좋음,0.002
205,2021-05-07:02,보통,66.0,보통,18.0,좋음,0.025,보통,0.034,좋음,0.4,좋음,0.003
206,2021-05-07:01,보통,68.0,보통,19.0,좋음,0.023,보통,0.041,좋음,0.4,좋음,0.002
207,2021-05-06:24,보통,66.0,보통,18.0,좋음,0.021,보통,0.048,좋음,0.5,좋음,0.003
208,2021-05-06:23,보통,65.0,보통,20.0,좋음,0.022,보통,0.05,좋음,0.5,좋음,0.004
209,2021-05-06:22,보통,56.0,보통,17.0,보통,0.041,좋음,0.029,좋음,0.5,좋음,0.004
210,2021-05-06:21,보통,59.0,보통,19.0,보통,0.048,좋음,0.027,좋음,0.4,좋음,0.003
211,2021-05-06:20,보통,65.0,보통,20.0,보통,0.052,좋음,0.027,좋음,0.5,좋음,0.003
212,2021-05-06:19,보통,65.0,보통,19.0,보통,0.056,좋음,0.025,좋음,0.4,좋음,0.003
